date,GSCPI
2008-06,0.2753533813804681
2008-07,1.007830000143561
2008-08,0.27779324768980396
2008-09,-0.5388971933177563
2008-10,-0.9850980844513065
2008-11,-1.5309444213310224
2008-12,-0.6973804864338433
2009-01,-0.4049168563215065
2009-02,-0.4433675417435937
2009-03,0.18614613487333975
2009-04,0.8488706566921972
2009-05,0.33936877046309205
2009-06,-0.5045210581959092
2009-07,-0.7406302400972696
2009-08,-1.128026313201707
2009-09,-0.49059289818510904
2009-10,-0.4551527896944134
2009-11,-0.7918202796245575
2009-12,-0.6136524299442792
2010-01,-0.3216789565097193
2010-02,-0.15476023028871155
2010-03,0.36554317265533026
2010-04,0.29669975551466554
2010-05,0.4363112180041666
2010-06,-0.03177377777279155
2010-07,-0.03850349066605079
2010-08,0.30963996319430515
2010-09,0.3745296124116614
2010-10,0.6797057347341646
2010-11,0.4515135424153908
2010-12,0.7018005140534973
2011-01,0.7722429834993025
2011-02,0.36751607114367557
2011-03,0.7432509725049012
2011-04,1.6286359329688387
2011-05,0.9431652578250475
2011-06,0.2000351820570553
2011-07,0.2887487528298115
2011-08,-0.10086187166935606
2011-09,-0.5525558804359453
2011-10,-0.37661935009984804
2011-11,0.1412272539055031
2011-12,-0.03992481103125056
2012-01,0.38662429013809324
2012-02,0.011165871967161206
2012-03,-0.3665219826818633
2012-04,-0.32467748405773555
2012-05,-0.6724994008066175
2012-06,-0.7036102278072501
2012-07,-0.6864730991216974
2012-08,-0.13595526375349792
2012-09,-0.2610780447269734
2012-10,-0.005535010283566524
2012-11,-0.35330383695631434
2012-12,-0.15065283903193102
2013-01,-0.0500655806600768
2013-02,-0.37648254010896853
2013-03,-0.5429472445670704
2013-04,-0.7332043089519948
2013-05,-0.8670968755186925
2013-06,-0.6693628749171889
2013-07,-0.6569482468391112
2013-08,-0.5695971145482991
2013-09,-0.28467524041535675
2013-10,-0.18675874025106848
2013-11,-0.6964573651982221
2013-12,-0.4987096645304981
2014-01,-0.6386336297879808
2014-02,-0.2846926359333408
2014-03,-0.6254110460162964
2014-04,-0.8242954931290022
2014-05,-0.8355352437817898
2014-06,-0.6979232880390295
2014-07,-0.8248778196527791
2014-08,-0.6303013142414327
2014-09,-0.8215297441600508
2014-10,-0.5981970235539039
2014-11,-0.9796372572447956
2014-12,-0.4003464385293892
2015-01,-0.5137671103254251
2015-02,-0.3258833866162429
2015-03,-0.3905273047327533
2015-04,-0.35914800151530424
2015-05,-0.5550276289261104
2015-06,-0.87497636805583
2015-07,-0.41778188004523503
