date,dwt_container
1999-01,8479.75
1999-02,8479.75
1999-03,8479.75
1999-04,8479.75
1999-05,8479.75
1999-06,8479.75
1999-07,8479.75
1999-08,8479.75
1999-09,8479.75
1999-10,8479.75
1999-11,8479.75
1999-12,8479.75
2000-01,8460.0
2000-02,8460.0
2000-03,8460.0
2000-04,8460.0
2000-05,8460.0
2000-06,8460.0
2000-07,8460.0
2000-08,8460.0
2000-09,8460.0
2000-10,8460.0
2000-11,8460.0
2000-12,8460.0
2001-01,8324.583333333334
2001-02,8324.583333333334
2001-03,8324.583333333334
2001-04,8324.583333333334
2001-05,8324.583333333334
2001-06,8324.583333333334
2001-07,8324.583333333334
2001-08,8324.583333333334
2001-09,8324.583333333334
2001-10,8324.583333333334
2001-11,8324.583333333334
2001-12,8324.583333333334
2002-01,7974.416666666667
2002-02,7974.416666666667
2002-03,7974.416666666667
2002-04,7974.416666666667
2002-05,7974.416666666667
2002-06,7974.416666666667
2002-07,7974.416666666667
2002-08,7974.416666666667
2002-09,7974.416666666667
2002-10,7974.416666666667
2002-11,7974.416666666667
2002-12,7974.416666666667
2003-01,8038.083333333333
2003-02,8038.083333333333
2003-03,8038.083333333333
2003-04,8038.083333333333
2003-05,8038.083333333333
2003-06,8038.083333333333
2003-07,8038.083333333333
2003-08,8038.083333333333
2003-09,8038.083333333333
2003-10,8038.083333333333
2003-11,8038.083333333333
2003-12,8038.083333333333
2004-01,7860.916666666667
2004-02,7860.916666666667
2004-03,7860.916666666667
2004-04,7860.916666666667
2004-05,7860.916666666667
2004-06,7860.916666666667
2004-07,7860.916666666667
2004-08,7860.916666666667
2004-09,7860.916666666667
2004-10,7860.916666666667
2004-11,7860.916666666667
2004-12,7860.916666666667
2005-01,7652.25
2005-02,7652.25
2005-03,7652.25
2005-04,7652.25
2005-05,7652.25
2005-06,7652.25
2005-07,7652.25
2005-08,7652.25
2005-09,7652.25
2005-10,7652.25
2005-11,7652.25
2005-12,7652.25
2006-01,8032.666666666667
2006-02,8032.666666666667
2006-03,8032.666666666667
2006-04,8032.666666666667
2006-05,8032.666666666667
2006-06,8032.666666666667
2006-07,8032.666666666667
2006-08,8032.666666666667
2006-09,8032.666666666667
2006-10,8032.666666666667
2006-11,8032.666666666667
2006-12,8032.666666666667
2007-01,8411.166666666666
2007-02,8411.166666666666
2007-03,8411.166666666666
2007-04,8411.166666666666
2007-05,8411.166666666666
2007-06,8411.166666666666
2007-07,8411.166666666666
2007-08,8411.166666666666
2007-09,8411.166666666666
2007-10,8411.166666666666
2007-11,8411.166666666666
2007-12,8411.166666666666
2008-01,8791.0
2008-02,8791.0
2008-03,8791.0
2008-04,8791.0
2008-05,8791.0
2008-06,8791.0
2008-07,8791.0
2008-08,8791.0
2008-09,8791.0
2008-10,8791.0
2008-11,8791.0
2008-12,8791.0
2009-01,9073.416666666666
2009-02,9073.416666666666
2009-03,9073.416666666666
2009-04,9073.416666666666
2009-05,9073.416666666666
2009-06,9073.416666666666
2009-07,9073.416666666666
2009-08,9073.416666666666
2009-09,9073.416666666666
2009-10,9073.416666666666
2009-11,9073.416666666666
2009-12,9073.416666666666
2010-01,9019.333333333334
2010-02,9019.333333333334
2010-03,9019.333333333334
2010-04,9019.333333333334
2010-05,9019.333333333334
2010-06,9019.333333333334
2010-07,9019.333333333334
2010-08,9019.333333333334
2010-09,9019.333333333334
2010-10,9019.333333333334
2010-11,9019.333333333334
2010-12,9019.333333333334
2011-01,6867.833333333333
2011-02,6867.833333333333
2011-03,6867.833333333333
2011-04,6867.833333333333
2011-05,6867.833333333333
2011-06,6867.833333333333
2011-07,6867.833333333333
2011-08,6867.833333333333
2011-09,6867.833333333333
2011-10,6867.833333333333
2011-11,6867.833333333333
2011-12,6867.833333333333
2012-01,6643.083333333333
2012-02,6643.083333333333
2012-03,6643.083333333333
2012-04,6643.083333333333
2012-05,6643.083333333333
2012-06,6643.083333333333
2012-07,6643.083333333333
2012-08,6643.083333333333
2012-09,6643.083333333333
2012-10,6643.083333333333
2012-11,6643.083333333333
2012-12,6643.083333333333
2013-01,6620.333333333333
2013-02,6620.333333333333
2013-03,6620.333333333333
2013-04,6620.333333333333
2013-05,6620.333333333333
2013-06,6620.333333333333
2013-07,6620.333333333333
2013-08,6620.333333333333
2013-09,6620.333333333333
2013-10,6620.333333333333
2013-11,6620.333333333333
2013-12,6620.333333333333
2014-01,6369.083333333333
2014-02,6369.083333333333
2014-03,6369.083333333333
2014-04,6369.083333333333
2014-05,6369.083333333333
2014-06,6369.083333333333
2014-07,6369.083333333333
2014-08,6369.083333333333
2014-09,6369.083333333333
2014-10,6369.083333333333
2014-11,6369.083333333333
2014-12,6369.083333333333
2015-01,6334.25
2015-02,6334.25
2015-03,6334.25
2015-04,6334.25
2015-05,6334.25
2015-06,6334.25
2015-07,6334.25
2015-08,6334.25
2015-09,6334.25
2015-10,6334.25
2015-11,6334.25
2015-12,6334.25
2016-01,6373.333333333333
2016-02,6373.333333333333
2016-03,6373.333333333333
2016-04,6373.333333333333
2016-05,6373.333333333333
2016-06,6373.333333333333
2016-07,6373.333333333333
2016-08,6373.333333333333
2016-09,6373.333333333333
2016-10,6373.333333333333
2016-11,6373.333333333333
2016-12,6373.333333333333
2017-01,6293.5
2017-02,6293.5
2017-03,6293.5
2017-04,6293.5
2017-05,6293.5
2017-06,6293.5
2017-07,6293.5
2017-08,6293.5
2017-09,6293.5
2017-10,6293.5
2017-11,6293.5
2017-12,6293.5
2018-01,6308.5
2018-02,6308.5
2018-03,6308.5
2018-04,6308.5
2018-05,6308.5
2018-06,6308.5
2018-07,6308.5
2018-08,6308.5
2018-09,6308.5
2018-10,6308.5
2018-11,6308.5
2018-12,6308.5
2019-01,6368.75
2019-02,6368.75
2019-03,6368.75
2019-04,6368.75
2019-05,6368.75
2019-06,6368.75
2019-07,6368.75
2019-08,6368.75
2019-09,6368.75
2019-10,6368.75
2019-11,6368.75
2019-12,6368.75
2020-01,6494.083333333333
2020-02,6494.083333333333
2020-03,6494.083333333333
2020-04,6494.083333333333
2020-05,6494.083333333333
2020-06,6494.083333333333
2020-07,6494.083333333333
2020-08,6494.083333333333
2020-09,6494.083333333333
2020-10,6494.083333333333
2020-11,6494.083333333333
2020-12,6494.083333333333
2021-01,6558.166666666667
2021-02,6558.166666666667
2021-03,6558.166666666667
2021-04,6558.166666666667
2021-05,6558.166666666667
2021-06,6558.166666666667
2021-07,6558.166666666667
2021-08,6558.166666666667
2021-09,6558.166666666667
2021-10,6558.166666666667
2021-11,6558.166666666667
2021-12,6558.166666666667
2022-01,6707.25
2022-02,6707.25
2022-03,6707.25
2022-04,6707.25
2022-05,6707.25
2022-06,6707.25
2022-07,6707.25
2022-08,6707.25
2022-09,6707.25
2022-10,6707.25
2022-11,6707.25
2022-12,6707.25
2023-01,7037.0
2023-02,7037.0
2023-03,7037.0
2023-04,7037.0
2023-05,7037.0
2023-06,7037.0
2023-07,7037.0
2023-08,7037.0
2023-09,7037.0
2023-10,7037.0
2023-11,7037.0
2023-12,7037.0
2024-01,7150.75
2024-02,7150.75
2024-03,7150.75
2024-04,7150.75
2024-05,7150.75
2024-06,7150.75
2024-07,7150.75
2024-08,7150.75
2024-09,7150.75
2024-10,7150.75
2024-11,7150.75
2024-12,7150.75
2025-01,7285.083333333333
2025-02,7285.083333333333
2025-03,7285.083333333333
2025-04,7285.083333333333
2025-05,7285.083333333333
2025-06,7285.083333333333
2025-07,7285.083333333333
2025-08,7285.083333333333
2025-09,7285.083333333333
2025-10,7285.083333333333
2025-11,7285.083333333333
2025-12,7285.083333333333
