date,dwt_oil_tankers
2005-08,28395.666666666668
2005-09,28395.666666666668
2005-10,28395.666666666668
2005-11,28395.666666666668
2005-12,28395.666666666668
2006-01,29675.75
2006-02,29675.75
2006-03,29675.75
2006-04,29675.75
2006-05,29675.75
2006-06,29675.75
2006-07,29675.75
2006-08,29675.75
2006-09,29675.75
2006-10,29675.75
2006-11,29675.75
2006-12,29675.75
2007-01,31914.583333333332
2007-02,31914.583333333332
2007-03,31914.583333333332
2007-04,31914.583333333332
2007-05,31914.583333333332
2007-06,31914.583333333332
2007-07,31914.583333333332
2007-08,31914.583333333332
2007-09,31914.583333333332
2007-10,31914.583333333332
2007-11,31914.583333333332
2007-12,31914.583333333332
2008-01,33990.083333333336
2008-02,33990.083333333336
2008-03,33990.083333333336
2008-04,33990.083333333336
2008-05,33990.083333333336
2008-06,33990.083333333336
2008-07,33990.083333333336
2008-08,33990.083333333336
2008-09,33990.083333333336
2008-10,33990.083333333336
2008-11,33990.083333333336
2008-12,33990.083333333336
2009-01,34855.5
2009-02,34855.5
2009-03,34855.5
2009-04,34855.5
2009-05,34855.5
2009-06,34855.5
2009-07,34855.5
2009-08,34855.5
2009-09,34855.5
2009-10,34855.5
2009-11,34855.5
2009-12,34855.5
2010-01,37504.416666666664
2010-02,37504.416666666664
2010-03,37504.416666666664
2010-04,37504.416666666664
2010-05,37504.416666666664
2010-06,37504.416666666664
2010-07,37504.416666666664
2010-08,37504.416666666664
2010-09,37504.416666666664
2010-10,37504.416666666664
2010-11,37504.416666666664
2010-12,37504.416666666664
2011-01,36675.916666666664
2011-02,36675.916666666664
2011-03,36675.916666666664
2011-04,36675.916666666664
2011-05,36675.916666666664
2011-06,36675.916666666664
2011-07,36675.916666666664
2011-08,36675.916666666664
2011-09,36675.916666666664
2011-10,36675.916666666664
2011-11,36675.916666666664
2011-12,36675.916666666664
2012-01,37877.416666666664
2012-02,37877.416666666664
2012-03,37877.416666666664
2012-04,37877.416666666664
2012-05,37877.416666666664
2012-06,37877.416666666664
2012-07,37877.416666666664
2012-08,37877.416666666664
2012-09,37877.416666666664
2012-10,37877.416666666664
2012-11,37877.416666666664
2012-12,37877.416666666664
2013-01,39494.0
2013-02,39494.0
2013-03,39494.0
2013-04,39494.0
2013-05,39494.0
2013-06,39494.0
2013-07,39494.0
2013-08,39494.0
2013-09,39494.0
2013-10,39494.0
2013-11,39494.0
2013-12,39494.0
2014-01,40153.833333333336
2014-02,40153.833333333336
2014-03,40153.833333333336
2014-04,40153.833333333336
2014-05,40153.833333333336
2014-06,40153.833333333336
2014-07,40153.833333333336
2014-08,40153.833333333336
2014-09,40153.833333333336
2014-10,40153.833333333336
2014-11,40153.833333333336
2014-12,40153.833333333336
2015-01,40921.5
2015-02,40921.5
2015-03,40921.5
2015-04,40921.5
2015-05,40921.5
2015-06,40921.5
2015-07,40921.5
2015-08,40921.5
2015-09,40921.5
2015-10,40921.5
2015-11,40921.5
2015-12,40921.5
2016-01,42162.916666666664
2016-02,42162.916666666664
2016-03,42162.916666666664
2016-04,42162.916666666664
2016-05,42162.916666666664
2016-06,42162.916666666664
2016-07,42162.916666666664
2016-08,42162.916666666664
2016-09,42162.916666666664
2016-10,42162.916666666664
2016-11,42162.916666666664
2016-12,42162.916666666664
2017-01,44585.916666666664
2017-02,44585.916666666664
2017-03,44585.916666666664
2017-04,44585.916666666664
2017-05,44585.916666666664
2017-06,44585.916666666664
2017-07,44585.916666666664
2017-08,44585.916666666664
2017-09,44585.916666666664
2017-10,44585.916666666664
2017-11,44585.916666666664
2017-12,44585.916666666664
2018-01,46932.333333333336
2018-02,46932.333333333336
2018-03,46932.333333333336
2018-04,46932.333333333336
2018-05,46932.333333333336
2018-06,46932.333333333336
2018-07,46932.333333333336
2018-08,46932.333333333336
2018-09,46932.333333333336
2018-10,46932.333333333336
2018-11,46932.333333333336
2018-12,46932.333333333336
2019-01,47336.416666666664
2019-02,47336.416666666664
2019-03,47336.416666666664
2019-04,47336.416666666664
2019-05,47336.416666666664
2019-06,47336.416666666664
2019-07,47336.416666666664
2019-08,47336.416666666664
2019-09,47336.416666666664
2019-10,47336.416666666664
2019-11,47336.416666666664
2019-12,47336.416666666664
2020-01,50139.333333333336
2020-02,50139.333333333336
2020-03,50139.333333333336
2020-04,50139.333333333336
2020-05,50139.333333333336
2020-06,50139.333333333336
2020-07,50139.333333333336
2020-08,50139.333333333336
2020-09,50139.333333333336
2020-10,50139.333333333336
2020-11,50139.333333333336
2020-12,50139.333333333336
2021-01,51609.083333333336
2021-02,51609.083333333336
2021-03,51609.083333333336
2021-04,51609.083333333336
2021-05,51609.083333333336
2021-06,51609.083333333336
2021-07,51609.083333333336
2021-08,51609.083333333336
2021-09,51609.083333333336
2021-10,51609.083333333336
2021-11,51609.083333333336
2021-12,51609.083333333336
2022-01,52594.916666666664
2022-02,52594.916666666664
2022-03,52594.916666666664
2022-04,52594.916666666664
2022-05,52594.916666666664
2022-06,52594.916666666664
2022-07,52594.916666666664
2022-08,52594.916666666664
2022-09,52594.916666666664
2022-10,52594.916666666664
2022-11,52594.916666666664
2022-12,52594.916666666664
2023-01,54410.5
2023-02,54410.5
2023-03,54410.5
2023-04,54410.5
2023-05,54410.5
2023-06,54410.5
2023-07,54410.5
2023-08,54410.5
2023-09,54410.5
2023-10,54410.5
2023-11,54410.5
2023-12,54410.5
2024-01,55456.0
2024-02,55456.0
2024-03,55456.0
2024-04,55456.0
2024-05,55456.0
2024-06,55456.0
2024-07,55456.0
2024-08,55456.0
2024-09,55456.0
2024-10,55456.0
2024-11,55456.0
2024-12,55456.0
2025-01,55820.166666666664
2025-02,55820.166666666664
2025-03,55820.166666666664
2025-04,55820.166666666664
2025-05,55820.166666666664
2025-06,55820.166666666664
2025-07,55820.166666666664
2025-08,55820.166666666664
2025-09,55820.166666666664
2025-10,55820.166666666664
2025-11,55820.166666666664
2025-12,55820.166666666664
