Date,dwt_container
1992-02,2271.0
1992-03,2271.0
1992-04,2271.0
1992-05,2271.0
1992-06,2271.0
1992-07,2271.0
1992-08,2271.0
1992-09,2271.0
1992-10,2271.0
1992-11,2271.0
1992-12,2271.0
1993-01,2487.0
1993-02,2487.0
1993-03,2487.0
1993-04,2487.0
1993-05,2487.0
1993-06,2487.0
1993-07,2487.0
1993-08,2487.0
1993-09,2487.0
1993-10,2487.0
1993-11,2487.0
1993-12,2487.0
1994-01,2670.5
1994-02,2670.5
1994-03,2670.5
1994-04,2670.5
1994-05,2670.5
1994-06,2670.5
1994-07,2670.5
1994-08,2670.5
1994-09,2670.5
1994-10,2670.5
1994-11,2670.5
1994-12,2670.5
1995-01,3243.5833333333335
1995-02,3243.5833333333335
1995-03,3243.5833333333335
1995-04,3243.5833333333335
1995-05,3243.5833333333335
1995-06,3243.5833333333335
1995-07,3243.5833333333335
1995-08,3243.5833333333335
1995-09,3243.5833333333335
1995-10,3243.5833333333335
1995-11,3243.5833333333335
1995-12,3243.5833333333335
1996-01,3650.5
1996-02,3650.5
1996-03,3650.5
1996-04,3650.5
1996-05,3650.5
1996-06,3650.5
1996-07,3650.5
1996-08,3650.5
1996-09,3650.5
1996-10,3650.5
1996-11,3650.5
1996-12,3650.5
1997-01,4061.0833333333335
1997-02,4061.0833333333335
1997-03,4061.0833333333335
1997-04,4061.0833333333335
1997-05,4061.0833333333335
1997-06,4061.0833333333335
1997-07,4061.0833333333335
1997-08,4061.0833333333335
1997-09,4061.0833333333335
1997-10,4061.0833333333335
1997-11,4061.0833333333335
1997-12,4061.0833333333335
1998-01,4673.0
1998-02,4673.0
1998-03,4673.0
1998-04,4673.0
1998-05,4673.0
1998-06,4673.0
1998-07,4673.0
1998-08,4673.0
1998-09,4673.0
1998-10,4673.0
1998-11,4673.0
1998-12,4673.0
1999-01,5096.25
1999-02,5096.25
1999-03,5096.25
1999-04,5096.25
1999-05,5096.25
1999-06,5096.25
1999-07,5096.25
1999-08,5096.25
1999-09,5096.25
1999-10,5096.25
1999-11,5096.25
1999-12,5096.25
2000-01,5298.333333333333
2000-02,5298.333333333333
2000-03,5298.333333333333
2000-04,5298.333333333333
2000-05,5298.333333333333
2000-06,5298.333333333333
2000-07,5298.333333333333
2000-08,5298.333333333333
2000-09,5298.333333333333
2000-10,5298.333333333333
2000-11,5298.333333333333
2000-12,5298.333333333333
2001-01,5760.333333333333
2001-02,5760.333333333333
2001-03,5760.333333333333
2001-04,5760.333333333333
2001-05,5760.333333333333
2001-06,5760.333333333333
2001-07,5760.333333333333
2001-08,5760.333333333333
2001-09,5760.333333333333
2001-10,5760.333333333333
2001-11,5760.333333333333
2001-12,5760.333333333333
2002-01,6444.083333333333
2002-02,6444.083333333333
2002-03,6444.083333333333
2002-04,6444.083333333333
2002-05,6444.083333333333
2002-06,6444.083333333333
2002-07,6444.083333333333
2002-08,6444.083333333333
2002-09,6444.083333333333
2002-10,6444.083333333333
2002-11,6444.083333333333
2002-12,6444.083333333333
2003-01,6940.083333333333
2003-02,6940.083333333333
2003-03,6940.083333333333
