date,DWT_bulk
1992-01,19678.583333333332
1992-02,19678.583333333332
1992-03,19678.583333333332
1992-04,19678.583333333332
1992-05,19678.583333333332
1992-06,19678.583333333332
1992-07,19678.583333333332
1992-08,19678.583333333332
1992-09,19678.583333333332
1992-10,19678.583333333332
1992-11,19678.583333333332
1992-12,19678.583333333332
1993-01,19558.083333333332
1993-02,19558.083333333332
1993-03,19558.083333333332
1993-04,19558.083333333332
1993-05,19558.083333333332
1993-06,19558.083333333332
1993-07,19558.083333333332
1993-08,19558.083333333332
1993-09,19558.083333333332
1993-10,19558.083333333332
1993-11,19558.083333333332
1993-12,19558.083333333332
1994-01,19736.916666666668
1994-02,19736.916666666668
1994-03,19736.916666666668
1994-04,19736.916666666668
1994-05,19736.916666666668
1994-06,19736.916666666668
1994-07,19736.916666666668
1994-08,19736.916666666668
1994-09,19736.916666666668
1994-10,19736.916666666668
1994-11,19736.916666666668
1994-12,19736.916666666668
1995-01,20845.166666666668
1995-02,20845.166666666668
1995-03,20845.166666666668
1995-04,20845.166666666668
1995-05,20845.166666666668
1995-06,20845.166666666668
1995-07,20845.166666666668
1995-08,20845.166666666668
1995-09,20845.166666666668
1995-10,20845.166666666668
1995-11,20845.166666666668
1995-12,20845.166666666668
1996-01,21764.083333333332
1996-02,21764.083333333332
1996-03,21764.083333333332
1996-04,21764.083333333332
1996-05,21764.083333333332
1996-06,21764.083333333332
1996-07,21764.083333333332
1996-08,21764.083333333332
1996-09,21764.083333333332
1996-10,21764.083333333332
1996-11,21764.083333333332
1996-12,21764.083333333332
1997-01,22641.833333333332
1997-02,22641.833333333332
1997-03,22641.833333333332
1997-04,22641.833333333332
1997-05,22641.833333333332
1997-06,22641.833333333332
1997-07,22641.833333333332
1997-08,22641.833333333332
1997-09,22641.833333333332
1997-10,22641.833333333332
1997-11,22641.833333333332
1997-12,22641.833333333332
1998-01,23337.916666666668
1998-02,23337.916666666668
1998-03,23337.916666666668
1998-04,23337.916666666668
1998-05,23337.916666666668
1998-06,23337.916666666668
1998-07,23337.916666666668
1998-08,23337.916666666668
1998-09,23337.916666666668
1998-10,23337.916666666668
1998-11,23337.916666666668
1998-12,23337.916666666668
1999-01,22890.833333333332
1999-02,22890.833333333332
1999-03,22890.833333333332
1999-04,22890.833333333332
1999-05,22890.833333333332
1999-06,22890.833333333332
1999-07,22890.833333333332
1999-08,22890.833333333332
1999-09,22890.833333333332
1999-10,22890.833333333332
1999-11,22890.833333333332
1999-12,22890.833333333332
2000-01,22870.416666666668
2000-02,22870.416666666668
2000-03,22870.416666666668
2000-04,22870.416666666668
2000-05,22870.416666666668
2000-06,22870.416666666668
2000-07,22870.416666666668
2000-08,22870.416666666668
2000-09,22870.416666666668
2000-10,22870.416666666668
2000-11,22870.416666666668
2000-12,22870.416666666668
2001-01,23360.25
2001-02,23360.25
2001-03,23360.25
2001-04,23360.25
2001-05,23360.25
2001-06,23360.25
2001-07,23360.25
2001-08,23360.25
2001-09,23360.25
2001-10,23360.25
2001-11,23360.25
2001-12,23360.25
2002-01,24565.0
2002-02,24565.0
2002-03,24565.0
2002-04,24565.0
2002-05,24565.0
2002-06,24565.0
2002-07,24565.0
2002-08,24565.0
2002-09,24565.0
2002-10,24565.0
2002-11,24565.0
2002-12,24565.0
2003-01,24678.333333333332
2003-02,24678.333333333332
2003-03,24678.333333333332
2003-04,24678.333333333332
2003-05,24678.333333333332
2003-06,24678.333333333332
2003-07,24678.333333333332
2003-08,24678.333333333332
2003-09,24678.333333333332
2003-10,24678.333333333332
2003-11,24678.333333333332
2003-12,24678.333333333332
2004-01,25744.583333333332
2004-02,25744.583333333332
2004-03,25744.583333333332
2004-04,25744.583333333332
2004-05,25744.583333333332
2004-06,25744.583333333332
2004-07,25744.583333333332
2004-08,25744.583333333332
2004-09,25744.583333333332
2004-10,25744.583333333332
2004-11,25744.583333333332
2004-12,25744.583333333332
2005-01,27138.833333333332
2005-02,27138.833333333332
2005-03,27138.833333333332
2005-04,27138.833333333332
2005-05,27138.833333333332
2005-06,27138.833333333332
2005-07,27138.833333333332
2005-08,27138.833333333332
2005-09,27138.833333333332
2005-10,27138.833333333332
2005-11,27138.833333333332
2005-12,27138.833333333332
2006-01,29143.416666666668
2006-02,29143.416666666668
2006-03,29143.416666666668
2006-04,29143.416666666668
2006-05,29143.416666666668
2006-06,29143.416666666668
2006-07,29143.416666666668
2006-08,29143.416666666668
2006-09,29143.416666666668
2006-10,29143.416666666668
2006-11,29143.416666666668
2006-12,29143.416666666668
2007-01,30628.5
2007-02,30628.5
2007-03,30628.5
2007-04,30628.5
2007-05,30628.5
2007-06,30628.5
2007-07,30628.5
2007-08,30628.5
2007-09,30628.5
2007-10,30628.5
2007-11,30628.5
2007-12,30628.5
2008-01,32593.916666666668
2008-02,32593.916666666668
2008-03,32593.916666666668
2008-04,32593.916666666668
2008-05,32593.916666666668
2008-06,32593.916666666668
2008-07,32593.916666666668
2008-08,32593.916666666668
2008-09,32593.916666666668
2008-10,32593.916666666668
2008-11,32593.916666666668
2008-12,32593.916666666668
2009-01,34863.0
2009-02,34863.0
2009-03,34863.0
2009-04,34863.0
2009-05,34863.0
2009-06,34863.0
2009-07,34863.0
2009-08,34863.0
2009-09,34863.0
2009-10,34863.0
2009-11,34863.0
2009-12,34863.0
2010-01,38051.916666666664
2010-02,38051.916666666664
2010-03,38051.916666666664
2010-04,38051.916666666664
2010-05,38051.916666666664
2010-06,38051.916666666664
2010-07,38051.916666666664
2010-08,38051.916666666664
2010-09,38051.916666666664
2010-10,38051.916666666664
2010-11,38051.916666666664
2010-12,38051.916666666664
2011-01,45599.333333333336
2011-02,45599.333333333336
2011-03,45599.333333333336
2011-04,45599.333333333336
2011-05,45599.333333333336
2011-06,45599.333333333336
2011-07,45599.333333333336
2011-08,45599.333333333336
2011-09,45599.333333333336
2011-10,45599.333333333336
2011-11,45599.333333333336
2011-12,45599.333333333336
2012-01,52001.833333333336
2012-02,52001.833333333336
2012-03,52001.833333333336
2012-04,52001.833333333336
2012-05,52001.833333333336
2012-06,52001.833333333336
